code,number,edition,character,series,quality,dye.code,dye.name,frame,morphed,trimmed,alias,wishlists,dropQuality,worker.effort,worker.style,owner
h5k87w,1534,1,Maya,Epic Seven,2,,,,No,No,,1,2,13,F,saber
h50x9k,971,1,Mango Pomelo Sago,Food Fantasy,2,,,,No,No,,12,2,23,F,saber
h5v5b6,643,2,Goten,Dragon Ball Z,3,,,,No,No,,27,3,81,F,saber
hkfmqq,4873,1,Aurora Suya Rhys Kaymin,Sleepy Princess in the Demon Castle,2,,,,No,No,,100,2,30,F,saber
hkkw96,508,2,Hana Uzaki,Uzaki-chan Wants to Hang Out!,1,,,,No,No,,187,1,26,F,saber
hkw2kn,400,2,Palm Siberia,Hunter x Hunter (2011),4,,,,No,No,,15,4,130,F,saber
hk0db2,334,2,Sailor Moon,Sailor Moon,4,,,,No,No,,394,4,201,F,saber
hw623r,6441,1,Iris Heart,Hyperdimension Neptunia,2,,,,No,No,,36,2,26,F,saber
hwp8mt,7467,1,Eren Jaeger,Attack on Titan,3,,,,No,No,,2769,3,109,F,saber
hwz3pn,7480,1,Ochako Uraraka,My Hero Academia,2,,,,No,No,,382,2,56,F,saber
hwn1gd,148,2,Arisa Ichigaya,BanG Dream!,4,,,,No,No,,23,4,104,F,saber
hwnq3d,506,2,Rin Nohara,Naruto Shippuden,3,,,,No,No,,16,3,83,F,saber
hw581b,7563,1,Tohka Yatogami,Date a Live,1,,,,No,No,,245,1,21,F,saber
hwwrnp,7591,1,Chevalier d'Eon,Fate/Grand Order,2,,,,No,No,,8,2,15,F,saber
h26tst,512,2,Zen Wisteria,Snow White with the Red Hair,2,,,,No,No,,104,2,31,F,saber
h2snjk,584,2,Semiramis,Fate/Apocrypha,1,,,,No,No,,34,1,18,F,saber
h2nrl0,817,1,Doenjang Jjigae,Food Fantasy,2,,,,No,No,,1,2,15,F,saber
h2k049,176,2,Simon Brezhnev,Durarara!!,3,,,,No,No,,2,3,25,F,saber
h2hh5l,819,1,Yuki,Senran Kagura: New Wave,2,,,,No,No,,1,2,19,F,saber
h2hmd3,34,2,Qiqi,Genshin Impact,4,,,blossom,Yes,No,,254,1,275,B,saber
hhsjxr,7444,1,Leonidas I,Fate/Grand Order,2,,,,No,No,,7,2,9,F,saber
hh4gdl,293,2,Karna,Fate/Apocrypha,3,,,,No,No,,47,3,60,F,saber
hhvbd7,7234,1,Nobara Kugisaki,Jujutsu Kaisen,2,,,,No,No,,1782,2,50,F,saber
hq6htt,331,2,Aion,Show by Rock!!,1,,,,No,No,,2,1,5,F,saber
hqshff,7301,1,Tetra,Log Horizon 2,3,,,,No,No,,12,3,18,F,saber
hqdbgq,7366,1,God of Death,Assassination Classroom,2,,,,No,No,,1,2,10,F,saber
hq4llr,7279,1,Bogue,Azur Lane,3,,,,No,No,,1,3,26,F,saber
hqkgml,511,2,Van Huu Nguyen,Legend of the Galactic Heroes,2,,,,No,No,,0,2,8,F,saber
hqk5gc,6852,1,Raphtalia,The Rising of the Shield Hero,2,,,,No,No,,907,2,43,F,saber
hqmb65,5128,1,Noel Niihashi,BURN THE WITCH,3,,,,No,No,,46,3,45,F,saber
h06716,7060,1,Chloe von Einzbern,Fate/Kaleid Liner Prisma Illya 2wei!,3,,,,No,No,,38,3,45,F,saber
h0z19w,415,2,Mei Terumi,Naruto Shippuden,2,,,,No,No,,19,2,35,F,saber
h01sr2,7257,1,Mordred,Fate/Apocrypha,1,,,,No,No,,210,1,15,F,saber
h0njgn,7393,1,Decora,Food Wars! The Fourth Plate,3,,,,No,No,,2,3,23,F,saber
h055m6,585,1,Skewer,Food Fantasy,2,,,,No,No,,4,2,18,F,saber
hvthc1,7148,1,Lion King,Fate/Grand Order,0,,,,No,No,,3,0,5,F,saber
h0kf2r,7241,1,Lancer,Fate/Prototype,4,,,,No,No,,3,4,43,F,saber
h02dnr,477,2,Van Huu Nguyen,Legend of the Galactic Heroes,2,,,,No,No,,0,2,6,F,saber
h02mw3,21,2,Neco-Arc Destiny,Carnival Phantasm,2,,,,No,No,,36,2,19,F,saber
h0vl5k,353,2,Ikuno,DARLING in the FRANXX,3,,,,No,No,,12,3,58,F,saber
hvctd1,349,2,Himiko Toga,My Hero Academia 2,2,,,,No,No,,1040,2,58,F,saber
hvfkmp,439,2,Juza Hyodo,A3! Season Autumn & Winter,1,,,,No,No,,9,1,8,F,saber
hvgglz,6011,1,Tokoyami Towa,Hololive: Holo no Graffiti,2,,,,No,No,,183,2,45,F,saber
hvg0fl,504,2,Niko Niiyama,Kiznaiver,2,,,,No,No,,13,2,30,F,saber
hvrlct,123,2,Kou Mabuchi,Blue Spring Ride,0,,,,No,No,,133,0,10,F,saber
hvztwn,7297,1,Centorea Shianus,Monster Musume no Iru Nichijou,2,,,,No,No,,48,2,16,F,saber
hv5ph6,7248,1,Kirschtaria Wodime,Fate/Grand Order,0,,,,No,No,,1,0,1,F,saber
hv2xfr,7119,1,Megumi Tokoro,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",1,,,,No,No,,1,1,1,F,saber
hvqv38,223,2,Higan,Servamp,0,,,,No,No,,1,0,1,F,saber
hv040p,298,2,Dian Rubens,Spice and Wolf II,4,,,,No,No,,1,4,51,F,saber
hvvsfs,7265,1,Riesbyfe Stridberg,MELTY BLOOD,2,,,,No,No,,3,2,5,F,saber
hvmrxg,110,2,Meroko Yui,Full Moon wo Sagashite,4,,,,No,No,,5,4,49,F,saber
hm3z3v,419,2,Narumi Anju,Gakuen Alice,2,,,,No,No,,2,2,10,F,saber
hm32vq,7073,1,Iris,Fire Force,1,,,,No,No,,171,1,21,F,saber
hmrxzk,2713,1,Hanami,Jujutsu Kaisen,1,,,,No,No,,30,1,20,F,saber
hmwq0m,246,2,Robin Hood,Fate/EXTRA,3,,,,No,No,,2,3,34,F,saber
hm45h2,28,2,Delphinium,DARLING in the FRANXX,3,,,,No,No,,2,3,45,F,saber
hmz3jr,274,2,Taiga Kagami,Kuroko's Basketball,3,,,,No,No,,163,3,104,F,saber
hm5xfn,6962,1,Rock Lee,Naruto,4,,,,No,No,,178,4,154,F,saber
hmk9m7,581,1,Karasu,Senran Kagura: New Wave,3,,,,No,No,,1,3,39,F,saber
hm26gr,7035,1,Justeaze Lizrich von Einzbern,Fate/Apocrypha,2,,,,No,No,,1,2,16,F,saber
hmhm0k,7105,1,Kanae Kochou,Demon Slayer: Kimetsu no Yaiba,1,,,,No,No,,84,1,28,F,saber
hm0k7s,380,2,Fuegoleon Vermillion,Black Clover,2,,,,No,No,,19,2,30,F,saber
hmv175,335,2,Yukako Yamagishi,JoJo's Bizarre Adventure: Diamond Is Unbreakable,4,,,,No,No,,16,4,149,F,saber
hmmh37,440,2,Sawako Yamanaka,K-On!,2,,,,No,No,,10,2,23,F,saber
qccrt3,89,2,Lancer,Fate/stay night,1,,,,No,No,,81,1,23,F,saber
qc6g9z,7180,1,Leonidas I,Fate/Grand Order,1,,,,No,No,,7,1,5,F,saber
qcf9pm,179,2,Kaori Shirasaki,Arifureta: From Commonplace to World's Strongest,4,,,,No,No,,16,4,70,F,saber
qcff0m,341,2,Cure Rosetta,Dokidoki! Precure,2,,,,No,No,,2,2,16,F,saber
qc907g,1854,1,Amy,Konosuba: Fantastic Days!,3,,,,No,No,,3,3,30,F,saber
qcrkhl,94,2,Chris,KonoSuba: God's blessing on this wonderful world!,2,,,,No,No,,13,2,30,F,saber
qcjv0n,397,2,Kyousuke Yaguchi,Yarichin Bitch-bu,2,,,,No,No,,24,2,38,F,saber
qcb2bp,7008,1,Robin Hood,Fate/EXTRA,0,,,,No,No,,2,0,1,F,saber
qc588l,329,2,Chico,Boku no Pico,3,,,,No,No,,22,3,53,F,saber
qckn7m,46,2,Yoshitsune Kurono,The Ryuo's Work Is Never Done!,3,,,,No,No,,1,3,19,F,saber
qck086,1503,1,Rui Yashio,BanG Dream!,4,,,,No,No,,14,4,64,F,saber
qcw7g0,6928,1,Pingu,Pingu in the City,1,,,,No,No,,362,1,24,F,saber
qc288w,203,2,Monika,Princess Connect! Re: Dive,2,,,,No,No,,2,2,20,F,saber
qc271q,196,2,Akame,Akame ga Kill!,4,$vf45s,Red Purple,crow,Yes,No,,995,0,335,B,saber
q6crwx,311,2,Misha Necron,Maou Gakuin no Futekigousha,2,,,,No,No,,132,2,41,F,saber
qcm7x6,4417,1,Shun Kurosaki,Yu-Gi-Oh! Arc-V,4,,,,No,No,,3,4,15,F,saber
qcmr6z,337,2,Trafalgar Law,One Piece,1,,,,No,No,,1237,1,30,F,saber
q66csj,36,2,Shinji Matou,Fate/stay night,2,,,,No,No,,3,2,21,F,saber
q6cj3r,1410,1,Cassin,Azur Lane,2,,,,No,No,,0,2,20,F,saber
q6cv6m,254,2,Kedama,Given,2,,,,No,No,,27,2,31,F,saber
q6lb6f,5900,1,Kiryu Coco,Hololive: Holo no Graffiti,1,,,,No,No,,184,1,23,F,saber
q6lqfn,6909,1,Mona Haulia,Arifureta: From Commonplace to World's Strongest,0,,,,No,No,,1,0,1,F,saber
q6fdt4,7052,1,Nagisa Shiota,Assassination Classroom,1,,,,No,No,,389,1,29,F,saber
q691pp,6917,1,Erica,Fate/Kaleid Liner Prisma Illya 3rei!!,1,,,,No,No,,1,1,1,F,saber
q6g55l,129,2,Takumi Fujiwara,Initial D,3,,,,No,No,,174,3,65,F,saber
q64nmt,7091,1,Miyu Edelfelt,Fate/kaleid liner PRISMA ILLYA,2,,,,No,No,,14,2,8,F,saber
qfhsz8,6480,1,Semiramis,Fate/Apocrypha,2,,,,No,No,,34,2,20,F,saber
qxdpzc,7077,1,Leonidas I,Fate/Grand Order,2,,,,No,No,,7,2,9,F,saber
q8lnkh,6772,1,Achilles,Fate/Apocrypha,2,,,,No,No,,18,2,11,F,saber
qxqbkz,6926,1,Yukika Saegusa,Fate/stay night: Unlimited Blade Works,3,,,,No,No,,1,3,14,F,saber
qpnp59,6337,1,Olga Marie Animusphere,Fate/Grand Order,1,,,,No,No,,6,1,6,F,saber
q993nx,6610,1,Kariya Matou,Fate/Zero,1,,,,No,No,,1,1,5,F,saber
q6nz5b,7064,1,Misa Nishimori,Charlotte,4,,,,No,No,,1,4,49,F,saber
q6bngs,44,2,Spartacus,Fate/Apocrypha,1,,,,No,No,,1,1,8,F,saber
q6w91d,1779,1,Amy,Konosuba: Fantastic Days!,3,,,,No,No,,3,3,30,F,saber
q604gt,109,2,Jean Kirschtein,Attack on Titan,3,,,,No,No,,128,3,100,F,saber
q604v4,7096,1,Nanami Moriyama,Fate/kaleid Liner Prisma Illya 2wei Herz! Specials,2,,,,No,No,,1,2,8,F,saber
q60w66,161,2,Finral Roulacase,Black Clover,2,,,,No,No,,24,2,34,F,saber
qx78vr,6964,1,Astolfo,Fate/Apocrypha,2,,,,No,No,,997,2,43,F,saber
q60w6m,2505,1,Junpei Yoshino,Jujutsu Kaisen,3,,,,No,No,,53,3,85,F,saber
q6vcqm,235,2,Lucifer,Obey Me!,2,,,,No,No,,204,2,45,F,saber
q6vbk9,336,2,Mifuyu,Princess Connect! Re: Dive,0,,,,No,No,,2,0,5,F,saber
q6vbkl,169,2,Ryouko Kusakabe,Date a Live,2,,,,No,No,,1,2,16,F,saber
q6mtkf,272,2,Katsuragi,Senran Kagura: Portrait of Girls,2,,,,No,No,,23,2,29,F,saber
qx75jw,6627,1,Rin Tohsaka,Fate/stay night,3,,,,No,No,,1365,3,94,F,saber
qxf7nt,1370,1,Amazon,Azur Lane,2,,,,No,No,,1,2,21,F,saber
qx12rz,387,1,Ageha,Senran Kagura: New Wave,1,,,,No,No,,135,1,6,F,saber
qxnsfd,1370,1,Aurora,Azur Lane,4,,,,No,No,,0,4,85,F,saber
qxj9xg,6861,1,Martha Mackenzie,Fate/Zero,0,,,,No,No,,1,0,0,F,saber
qxjhw9,269,2,Elias Ainsworth,The Ancient Magus' Bride: Those Awaiting a Star,4,,,,No,No,,164,4,136,F,saber
qxjw0w,83,2,Laudisch,Legend of the Galactic Heroes,0,,,,No,No,,0,0,1,F,saber
qxjvmj,4326,1,Suguru Getou,Jujutsu Kaisen,2,,,,No,No,,1330,2,46,F,saber
qtfkv8,153,2,Emilia,Re:ZERO -Starting Life in Another World-,4,$0829v,Mystic Lavender Magenta,snowlands,No,No,,1269,1,395,S,saber
qx55mh,6779,1,Kaede Azusagawa,Rascal Does Not Dream of Bunny Girl Senpai,2,,,,No,No,,149,2,49,F,saber
qxkdhj,61,2,Charlotte,Tonikaku Kawaii,2,,,,No,No,,5,2,20,F,saber
qxkdh1,242,2,Finland,Hetalia: Axis Powers,1,,,,No,No,,4,1,6,F,saber
qxw28t,6985,1,Tanaka,The Skull Man,4,,,,No,No,,0,4,1,F,saber
qxh8l0,156,2,Suzuka,Akame ga Kill!,1,,,,No,No,,1,1,11,F,saber
qss461,161,2,Francis Scott Fitzgerald,Bungou Stray Dogs,2,,,,No,No,,13,2,20,F,saber
qx0lhx,6883,1,Akane Owari,Danganronpa 2: Goodbye Despair,0,,,,No,No,,31,0,6,F,saber
qtjdqb,73,2,Kaede Makidera,Fate/stay night: Unlimited Blade Works,2,,,,No,No,,1,2,16,F,saber
qxvzgf,231,2,Ryouna,Senran Kagura: Shinovi Versus,3,,,,No,No,,11,3,54,F,saber
qxvqdz,561,1,Xinyan,Genshin Impact,2,,,,No,No,,86,2,55,F,saber
qsfx5s,220,2,Iskahn,Sword Art Online: Alicization - War of Underworld,1,,,,No,No,,3,1,11,F,saber
qsfvrq,6939,1,Jean Pierre Polnareff,JoJo's Bizarre Adventure: Stardust Crusaders,1,,,,No,No,,166,1,18,F,saber
qs9fdf,188,2,Eve,Black Cat,1,,,,No,No,,11,1,8,F,saber
qsjlzd,141,2,Iu Shindou,"I'm standing on 1,000,000 lives.",0,,,,No,No,,2,0,5,F,saber
q7fqql,193,2,Toudou-san,"The Night Is Short, Walk on Girl",2,,,,No,No,,1,2,8,F,saber
qsg9gb,6993,1,Yukitoshi Shimizu,Arifureta: From Commonplace to World's Strongest,2,,,,No,No,,0,2,5,F,saber
qsg192,3930,1,Sayori,Doki Doki Literature Club!,2,,,,No,No,,365,2,55,F,saber
qsgh2w,6957,1,Nagisa Shingetsu,Danganronpa Another Episode: Ultra Despair Girls,2,,,,No,No,,7,2,19,F,saber
qspcsn,191,2,Sengoku,One Piece,2,,,,No,No,,9,2,30,F,saber
qsp7ms,4790,1,Aak,Arknights,2,,,,No,No,,3,2,16,F,saber
qh7cx2,5632,1,Medea (Lily),Fate/Grand Order,3,,,,No,No,,3,3,26,F,saber
qr58l1,6249,1,Tokiomi Tohsaka,Fate/Zero,2,,,,No,No,,1,2,6,F,saber
0dvkr6,5080,1,Atalanta,Fate/Apocrypha,3,,,,No,No,,19,3,33,F,saber
073sfw,4997,1,Florence Nightingale,Fate/Grand Order,1,,,,No,No,,38,1,8,F,saber
qv6sqs,5531,1,Fiore Forvedge Yggdmillennia,Fate/Apocrypha,2,,,,No,No,,1,2,10,F,saber
qv7ss8,5465,1,Vlad III,Fate/Apocrypha,1,,,,No,No,,3,1,5,F,saber
0x72cs,5257,1,Rama,Fate/Grand Order,4,,,,No,No,,1,4,54,F,saber
qqb7cg,5549,1,Sherlock Holmes,Fate/Grand Order,1,,,,No,No,,6,1,5,F,saber
q4h4jg,6151,1,Lion King,Fate/Grand Order,0,,,,No,No,,3,0,5,F,saber
qw67tl,5796,1,Saber,Fate/Prototype,3,,,,No,No,,23,3,30,F,saber
06sgz5,5204,1,Romani Archaman,Fate/Grand Order,2,,,,No,No,,7,2,13,F,saber
q1js6l,5941,1,Ritsuka Fujimaru,Fate/Grand Order,2,,,,No,No,,9,2,13,F,saber
q5350v,5857,1,Siegfried,Fate/Apocrypha,0,,,,No,No,,7,0,1,F,saber
qpftzz,6289,1,Gorgon,Fate/Grand Order,2,,,,No,No,,20,2,16,F,saber
qszcn8,323,1,Sukiyaki,Food Fantasy,3,,,,No,No,,5,3,38,F,saber
qsz098,4854,1,Blaze,Arknights,0,,,,No,No,,1,0,4,F,saber
qsjzqj,3689,1,Mega Charizard X,Pokémon XY: Mega Evolution,2,,,,No,No,,41,2,25,F,saber
qskfr3,6731,1,Kaede Honjou,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",3,,,,No,No,,8,3,20,F,saber
qskfcq,295,2,Yuzuru Otonashi,Angel Beats!,2,,,,No,No,,12,2,31,F,saber
qskfpv,240,2,Satoshi Isshiki,Food Wars! Shokugeki no Souma,0,,,,No,No,,45,0,8,F,saber
qd7d6k,50,2,Rena Minami,Magia Record: Puella Magi Madoka Magica Side Story,1,,,,No,No,,2,1,8,F,saber
qdl4cg,6897,1,Obanai Iguro,Demon Slayer: Kimetsu no Yaiba,3,,,,No,No,,506,3,89,F,saber
qdlzt3,6765,1,Rio Momose,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",2,,,,No,No,,0,2,5,F,saber
qdg9bh,170,2,Kazuchika Okada,Tiger Mask W,2,,,,No,No,,6,2,8,F,saber
qtmnkj,123,2,Runa Yomozuki,Kakegurui,4,$f3jj,Hipster Salmon,blossom,Yes,No,,171,3,349,B,saber
qdg5nc,112,2,Mirajane Strauss,Fairy Tail,1,,,,No,No,,366,1,20,F,saber
qdpbrt,187,1,Madeleine,Food Fantasy,1,,,,No,No,,1,1,6,F,saber
qd4jdz,6727,1,Saber,Fate/stay night,4,,,bamboostalks,Yes,No,,1285,1,248,B,saber
qdz60t,1325,1,Aya Arisugawa,Tonikaku Kawaii,4,,,,No,No,,3,4,50,F,saber
qd169j,214,1,Longxi Cured Ham,Food Fantasy,0,,,,No,No,,1,0,1,F,saber
qdjpz2,6997,1,Byakuya Matou,Fate/Zero 2,2,,,,No,No,,1,2,5,F,saber
qdbp9k,2356,1,Ines,Arknights,3,,,,No,No,,0,3,25,F,saber
qdbmzk,44,2,Murakami Sanami,I Tried Asking In Dogeza,1,,,,No,No,,3,1,10,F,saber
qdvcqm,6654,1,Nero Claudius,Fate/Extra Last Encore,1,,,,No,No,,125,1,18,F,saber
qdvs61,6601,1,Annie Leonhart,Attack on Titan,2,,,,No,No,,213,2,44,F,saber
qdv9f1,6862,1,Hibana,Fire Force,0,,,,No,No,,264,0,9,F,saber
q76f2l,6723,1,Rio Momose,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",2,,,,No,No,,0,2,5,F,saber
q7dzr5,12,2,Sakurako Ohmuro,Yuru Yuri,1,,,,No,No,,5,1,8,F,saber
q7t58x,122,2,Kaede Makidera,Fate/stay night: Unlimited Blade Works,2,,,,No,No,,1,2,18,F,saber
q78pw0,6799,1,Father Simon,Fate/Zero 2,2,,,,No,No,,1,2,1,F,saber
q7l3vz,108,2,Kuraudo Kurashiki,Chivalry of a Failed Knight,1,,,,No,No,,1,1,5,F,saber
q73hpt,728,1,Chloe,Epic Seven,2,,,,No,No,,1,2,14,F,saber
q7pp71,108,2,Hatsu,Tower of God,2,,,,No,No,,11,2,28,F,saber
q74dmc,122,2,Saotome,Brand New Animal,2,,,,No,No,,1,2,10,F,saber
q7zqs5,187,2,Lao,Legend of the Galactic Heroes,2,,,,No,No,,1,2,8,F,saber
q712bd,6713,1,Z23,Azur Lane,1,,,,No,No,,1,1,8,F,saber
q70n4q,6729,1,Adenela,Cautious Hero: The Hero Is Overpowered but Overly Cautious,1,,,,No,No,,7,1,5,F,saber
q70vrp,6592,1,Sally,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",2,,,,No,No,,49,2,14,F,saber
q70v4q,4196,1,Rin,Yu-Gi-Oh! Arc-V,3,,,,No,No,,1,3,6,F,saber
q7vn27,136,2,Cure Rosetta,Dokidoki! Precure,2,,,,No,No,,2,2,15,F,saber
q7vn2t,6662,1,Fou,Fate/Grand Order,4,,,,No,No,,10,4,54,F,saber
qtcckc,207,2,Canada,Hetalia: Axis Powers,3,,,,No,No,,21,3,38,F,saber
qtcr78,706,1,Kluri,Epic Seven,2,,,,No,No,,2,2,8,F,saber
qt69jx,166,2,Haruka Nanami,Uta no Prince-sama: Maji Love 1000%,0,,,,No,No,,1,0,1,F,saber
qtxt57,83,2,Shiori Terashima,Symphogear,1,,,,No,No,,1,1,5,F,saber
qtx5bf,6659,1,Rio Momose,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",2,,,,No,No,,0,2,5,F,saber
qtdt19,6849,1,Reimi Sugimoto,JoJo's Bizarre Adventure: Diamond Is Unbreakable,3,,,,No,No,,28,3,65,F,saber
qt7x6p,98,2,Valerio Giacosa,Muv-Luv Alternative: Total Eclipse,0,,,,No,No,,1,0,1,F,saber
qt7j1z,6678,1,Megumi Tokoro,"The iDOLM@STER Million Live! ""Dreaming!"" Animation PV",2,,,,No,No,,1,2,5,F,saber
qt882l,9,2,Robin Hood,Fate/EXTRA,0,,,,No,No,,2,0,5,F,saber
qt3ql1,2269,1,Saber Lion,Carnival Phantasm,4,,,,No,No,,23,4,59,F,saber
qtf3t6,16,2,Yume,Grimgar of Fantasy and Ash,2,,,,No,No,,24,2,20,F,saber
qtfzhr,6768,1,Gorgon,Fate/Grand Order,2,,,,No,No,,20,2,16,F,saber
qt9p7w,6623,1,Mimi Katsura,Fate/kaleid liner PRISMA ILLYA,3,,,,No,No,,0,3,9,F,saber
qtr2f6,6598,1,Aki Koganei,Food Wars! Shokugeki no Souma,1,,,,No,No,,0,1,1,F,saber
qtppx9,12,2,Iu Shindou,"I'm standing on 1,000,000 lives.",4,,,,No,No,,2,4,85,F,saber
qt4dg0,4594,1,Mo Fei,Yao Jing Zhong Zhi Shou Ce,3,,,,No,No,,2,3,24,F,saber
qt1drd,3938,1,Charlotte,Tonikaku Kawaii,3,,,,No,No,,5,3,36,F,saber
qt2109,6852,1,Papi,Monster Musume no Iru Nichijou,2,,,,No,No,,47,2,23,F,saber
qtvlgn,6722,1,Atago,Azur Lane,4,,,,No,No,,8,3,98,F,saber
0zplr8,2422,1,Sasuke's Susanoo,Naruto Shippuden,3,,,,No,No,,41,3,58,F,saber
0k1wgx,3959,1,Jeanne d'Arc,Fate/Apocrypha,1,,,,No,No,,180,1,19,F,saber
qtm08l,1035,1,Jeanne d'Arc,Azur Lane,2,,,,No,No,,1,2,28,F,saber
qtm0ld,5546,1,AZKi,Hololive: Holo no Graffiti,1,,,,No,No,,26,1,13,F,saber
q8x76v,35,1,Darros,Fire Emblem: Shadow Dragon and the Blade of Light,2,,,,No,No,,1,2,1,F,saber
q8s8b2,36,1,Mirage Virion,Tokyo Mirage Sessions FE,3,,,,No,No,,1,3,13,F,saber
q8dsp8,57,1,Fish and Chips,Food Fantasy,1,,,,No,No,,4,1,8,F,saber
q8dmsd,6719,1,Yuma Tsukumo,Yu-Gi-Oh! Zexal,1,,,,No,No,,24,1,5,F,saber
q8dms7,6704,1,Jubstacheit von Einzbern,Fate/Zero,2,,,,No,No,,1,2,5,F,saber
q88p22,6645,1,Archer,Fate/stay night,0,,,,No,No,,158,0,8,F,saber
q88m30,2277,1,Yoshinobu Gakuganji,Jujutsu Kaisen,1,,,,No,No,,1,1,14,F,saber
q83w3t,22,2,Reika Nogami,City Hunter,2,,,,No,No,,1,2,8,F,saber
q8pxdd,6629,1,Shea Haulia,Arifureta: From Commonplace to World's Strongest,2,,,,No,No,,48,2,16,F,saber
q8pfmk,6587,1,Satan,Blue Exorcist,3,,,,No,No,,5,3,28,F,saber
qfx98l,17,2,Maiya Hisau,Fate/Zero,2,,,,No,No,,3,2,21,F,saber
q85w06,6678,1,Kayu,Log Horizon,2,,,,No,No,,0,2,1,F,saber
q8kk1t,145,2,The Windy,Cardcaptor Sakura,3,,,,No,No,,4,3,29,F,saber
q8ws60,41,2,Soumei Saitou,Food Wars! Toutsuki Juukketsu,4,,,,No,No,,2,4,71,F,saber
q8hn2m,6630,1,Ayako Mitsuzuri,Fate/stay night,2,,,,No,No,,1,2,9,F,saber
lgf3,61,1,Joujirou Takajou,Charlotte,1,,,,No,No,,2,1,1,F,saber
cnwzk,101,1,Purifier,Azur Lane,2,,,,No,No,,0,2,16,F,saber
2zt6,17,1,Fafnir,Fate/Apocrypha,2,,,,No,No,,1,2,10,F,saber
7ctm,67,1,Ryouko Sakaki,Food Wars! Shokugeki no Souma,2,,,,No,No,,9,2,16,F,saber
q80q7h,6635,1,Sora Shiunin,Yu-Gi-Oh! Arc-V,3,,,,No,No,,1,3,6,F,saber
qlck8c,6414,1,Mai,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",2,,,,No,No,,8,2,10,F,saber
qlxnzr,6475,1,Lancelot,Fate/Grand Order,1,,,,No,No,,3,1,5,F,saber
qlx0b5,113,2,Momokapool,Gundam Build Divers,2,,,,No,No,,1,2,10,F,saber
qldd48,3328,1,Mega Gardevoir,Pokémon XY: Mega Evolution,2,,,,No,No,,24,2,19,F,saber
qlthbz,67,2,Ann Fukuhara,Pretty Rhythm: Rainbow Live,2,,,,No,No,,1,2,14,F,saber
qltqk7,605,1,Maya,Epic Seven,4,,,,No,No,,1,4,44,F,saber
ql8gp4,2206,1,Hanami,Jujutsu Kaisen,3,,,,No,No,,30,3,73,F,saber
qlf8xs,6622,1,Moeka Kiryuu,Steins;Gate,0,,,,No,No,,20,0,1,F,saber
q44ccp,6103,1,Saber,Fate/stay night,4,$vt946,Azure,spaceship,Yes,No,,1285,4,270,B,saber
qlfhfz,6621,1,Yuto,Yu-Gi-Oh! Arc-V,2,,,,No,No,,5,2,5,F,saber
qlphnd,6550,1,Sakura Matou,Fate/stay night,2,,,,No,No,,163,2,30,F,saber
q1btzv,435,1,Atalanta (Alter),Fate/Apocrypha,2,,,,No,No,,12,2,15,F,saber
qlfq81,6627,1,Mordred,Fate/Apocrypha,0,,,,No,No,,210,0,8,F,saber
ql96jx,97,2,Van Huu Nguyen,Legend of the Galactic Heroes,2,,,,No,No,,0,2,8,F,saber
qlgxr5,12,2,Koichi Ishizaki,Brand New Animal,4,,,,No,No,,1,4,38,F,saber
qlnq7s,6601,1,Mash Dragonight,Cautious Hero: The Hero Is Overpowered but Overly Cautious,0,,,,No,No,,1,0,0,F,saber
qljr30,6404,1,Queen,No Game No Life,1,,,,No,No,,4,1,8,F,saber
qljb0k,6548,1,Ristarte,Cautious Hero: The Hero Is Overpowered but Overly Cautious,1,,,,No,No,,19,1,6,F,saber
0nv1vt,4194,1,Milim Nava,That Time I Got Reincarnated as a Slime,2,,,,No,No,,422,2,43,F,saber
vzp5c9,2598,1,Satoshi Isshiki,Food Wars! Shokugeki no Souma,0,,,,No,No,,45,0,6,F,saber
qvdrtr,4141,1,Ookami Mio,Hololive: Holo no Graffiti,1,,,,No,No,,100,1,20,F,saber
vnxfl4,2528,1,Long Island,Azur Lane,2,,,,No,No,,2,2,19,F,saber
0phn1h,4465,1,Midnight,My Hero Academia,2,,,,No,No,,68,2,41,F,saber
vwk0zr,2183,1,Izuna Hatsuse,No Game No Life,2,,,,No,No,,37,2,39,F,saber
0k0mx0,3973,1,Misha Necron,Maou Gakuin no Futekigousha,3,,,,No,No,,132,3,64,F,saber
vxhw0v,3375,1,Alice Nakiri,Food Wars! Shokugeki no Souma,2,,,,No,No,,165,2,35,F,saber
0b54bf,4146,1,Xenovia Quarta,High School DxD NEW,2,,,,No,No,,200,2,34,F,saber
ql5fn0,4751,1,Minerva,Re:ZERO -Starting Life in Another World- Season 2,4,,,,No,No,,16,4,90,F,saber
qlkps7,6411,1,Rebecca Scarlet,Black Clover,1,,,,No,No,,2,1,5,F,saber
qlk5k4,13,2,Kurami Zell,No Game No Life,4,,,,No,No,,14,1,115,F,saber
qlww4b,44,2,Rin Rokudou,Keijo!!!!!!!!,2,,,,No,No,,5,2,19,F,saber
ql2szj,62,2,Onsen-Mark,Urusei Yatsura,2,,,,No,No,,1,2,8,F,saber
