code,number,edition,character,series,quality,wishlists,dropQuality
v2hbmfk,13440,1,Zel Trycen,Black Summoner,2,0,2
v2hb8rm,57543,1,Yuki Azuma,Princess Nine,1,0,1
v2hbhb2,10208,2,Nero Claudius (Bride),Fate/Grand Order,2,46,2
v2hbvwm,11697,2,Dece,How a Realist Hero Rebuilt the Kingdom,2,1,2
v2hk7bg,25562,2,Poison-Be-Gone,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,2,1,2
v2hh9vm,41984,1,Cheshire Cat,Pandora Hearts,1,11,1
v2h2433,57478,1,Seiji Ino,Kuuchuu Buranko,0,0,0
v2q6d9b,57473,1,Nail,Dragon Ball Z,3,1,3
v2qc558,57443,1,A-ko Saenai,Brigadoon,2,0,2
v2qsw6g,57393,1,Dancing Cat,Mahoujin Guru Guru (2017),2,1,2
v2q7324,9876,3,Fáfnir,Fire Emblem Heroes,0,2,0
v2q97ht,49404,1,Mahiru Shigure,Gundam Build Fighters Try,0,0,0
v2qrxjp,47389,1,Trent,Yu-Gi-Oh! Capsule Monsters,3,1,3
v2qrwzx,18655,2,Blanca,Banana Fish,2,6,2
vh69rg3,8690,4,Miyamoto Musashi,Fate/Grand Order,1,136,1
v2q2q2n,2436,3,Lily Shiraishi,Demon King Daimao,2,1,2
v2q2570,52176,1,Rei Saotome,Yu-Gi-Oh! GX,0,2,0
vv0rwqv,9135,2,Altria Caster,Fate/Grand Order,3,50,3
vhwx85m,12574,3,Morgan,Fate/Grand Order,1,68,1
vvlvscw,16207,2,Astolfo,Fate/Apocrypha,3,997,2
v20xldp,57421,1,Chita,In This Corner of the World,2,0,2
v2mvtkt,2998,5,Saber,Fate/stay night,4,1285,2
vhc3q37,7950,4,Scáthach,Fate/Grand Order,1,262,1
vhslq9x,17148,2,Ozymandias,Fate/Prototype: Sougin no Fragments,2,21,2
v0b2slk,7192,4,Florence Nightingale,Fate/Grand Order,1,38,1
csrmtm,10745,3,Altria Caster,Fate/Grand Order,3,50,3
vvqgn8w,7225,4,Ushiwakamaru,Fate/Grand Order,2,48,2
v20kn3t,17416,3,Ishtar Ashtart,Fate/Grand Order,3,19,3
vhgb948,8772,4,Mysterious Heroine X (Alter),Fate/Grand Order,3,47,3
v20x8r6,12559,3,Cha Hae-In,Solo Leveling,3,1240,3
vmxhhk1,447,5,Ochako Uraraka,My Hero Academia,2,382,2
v209xxb,8278,2,Colette Brunel,Tales of Symphonia,3,6,3
v20ggcv,33925,2,Anakitty Autumn,Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,2,1,2
v20j4pr,57563,1,Momoka Kawakabe,Touka Gettan,2,0,2
v20vpw7,102,4,Griseo,Honkai Impact 3rd,0,62,0
v2vc7fw,57349,1,Haruka Haruno,Go! Princess Precure,4,1,4
v2v6q7r,57347,1,Layla,Venus Versus Virus,2,0,2
v2vtcwq,57354,1,Mitchan,Giovanni's Island,2,0,2
v2v8npv,10147,1,Dog,The Great Jahy Will Not Be Defeated!,1,1,1
v2vtqx4,10152,2,Tarou Yamada,Boukyaku Battery,0,0,0
v2vr8dl,24916,2,Tonari,To Your Eternity,3,3,3
v2vjv0h,2935,1,Mayusura,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,3,1,3
v2vwbdw,57340,1,Hongan-ji Kennyo,Ninja Girl & Samurai Master 3rd Season,2,0,2
v2vh2w0,1634,1,Juliet Queen Elizabeth VIII,Do It Yourself!!,0,7,0
v2vq4ts,57436,1,Finnes Calmreich,Black Clover,2,1,2
v2vh14f,17976,2,Moguo Iijima,Talentless Nana,4,1,4
v2msk4k,19591,2,Glaive Magna,How a Realist Hero Rebuilt the Kingdom,3,1,3
v2mrxmq,10108,4,Souji Mikage,Revolutionary Girl Utena,2,2,2
v2m5trr,8966,4,Leviathan,Obey Me!,2,142,2
v2mh6cs,18767,3,Amagroff Luozontam Ouv Lee Nej,Blood Blockade Battlefront,4,1,4
v2mh20h,10289,1,Banjou Ginga,Seiyuu's Life!,2,0,2
v2mqgqb,12134,3,Hikage Miyauchi,Non Non Biyori,2,1,2
v2mv9zc,57055,1,Richard Nouveau,Pokémon: Black & White: Adventures in Unova and Beyond,0,1,0
vhcc8lb,5587,2,Clay Berger,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",2,0,2
vhc6lbr,2377,5,White Peak,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2,1,2
vhc6lws,50992,1,Auxiliary Lots,Epic Seven,1,0,1
vhc83bh,57348,1,Momoko Hoshino,Major Season 1,2,1,2
vhcthxs,23751,1,Chihiro Usui,Readyyy!,4,1,4
vhcf7ph,9705,4,Sagakure Yui,Date A Bullet: Dead or Bullet,2,2,2
vhcrktb,67,1,Bella,The Aristocrat's Otherworldly Adventure: Serving Gods Who Go Too Far,1,0,1
vhcrkt5,3260,5,Asahi Minamikawa,Mewkledreamy,1,1,1
vhc4p6t,57183,1,Rana,Lamaze-P: Hayasugita Love Romance,1,1,1
vhcnxgd,57422,1,Gallandou,Minna Atsumare! Falcom Gakuen SC,2,0,2
vhc1m33,33230,2,Nanase Aasu,Puni Puni Poemy,2,0,2
vhcj6fq,50932,1,Kyuuki,Yashahime: Princess Half-Demon,2,1,2
vhchz47,5835,2,Shiliu,How NOT to Summon a Demon Lord Omega,3,1,3
vhcq1sj,2295,2,Naoya Shikijou,Rikei ga Koi ni Ochita no de Shoumei shitemita,3,0,3
vhcmqqr,15941,2,Genji Kimata,Texhnolyze,2,1,2
vh6ct0l,57117,1,Azumarill,Pokémon,2,3,2
vh6x990,57143,1,Yuriko Yamagiwa,Psychic School Wars,3,0,3
vh6xf1n,10294,2,Mikazuki Kiryuu,Kiss x Sis,0,2,0
vh6xz96,57367,1,Anne Medicum,Majestic Prince Movie: Kakusei no Idenshiko,1,0,1
vh6dn53,10503,1,Haruta Shigemo,Jujutsu Kaisen,2,1,2
vh6vndj,57096,1,Daz,Attack on Titan,2,1,2
vhxx6ps,3049,5,Elaine Fen Dran Valgas,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,2,1,2
vhxswd5,5972,3,Sammy Diesel,Super Crooks,2,2,2
vhx7kpf,14233,2,Haruko's Vespa,FLCL,2,7,2
vhx74v6,17078,2,Kokuwamon X,Digimon X-Evolution,3,1,3
vhx71fh,45442,1,Draco Centauros,Madou Monogatari 3,2,4,2
vhxttnm,57219,1,Yuzuki Sagara,Katana Maidens: Toji no Miko,2,0,2
vhxfqgp,57222,1,Maren Sei,Haruchika – Haruta & Chika,2,0,2
vhxzjg9,4386,4,Fenrir,Miss Kuroitsu from the Monster Development Department,1,1,1
vhxqkvz,50587,1,Norito Kume,White Blue,2,0,2
vhxv3r7,9620,4,Gustavo Baggetta,Baccano!,2,1,2
vhx01h7,57210,1,Rose,Gundam Build Divers,3,1,3
vhxm0pt,49422,1,Krystal Dragon,Yu-Gi-Oh!: The Dark Side of Dimensions,3,1,3
vhs7qt6,13310,3,Pecora,I've Been Killing Slimes for 300 Years and Maxed Out My Level,2,7,2
vhs8rvq,56944,1,Pad-kun,Classicaloid,2,0,2
vhsf9tz,57338,1,Edda,Magi: The Kingdom of Magic,2,0,2
vhsg8mz,57482,1,Magatsu Taito,Blade of the Immortal,2,1,2
qcbfvb,173,2,Saber,Fate/stay night,4,1285,2
nts9g9,395,3,Rider,Fate/stay night,2,131,0
vhsp8c1,56820,1,Cheshire Cat,100 Sleeping Princes and the Kingdom of Dreams,1,1,1
vhs4wqf,29852,2,Hyaku-Shiki (Nils Nielsen Custom),Gundam Build Fighters,4,1,4
vhsbsc0,252,4,Shuu Iura,Horimiya,3,28,3
vhsb9dj,2599,5,Kenji Nibeyama,Healer Girl,2,0,2
vhs2fh8,33455,2,Aria Futaba,Aikatsu Stars! Hoshi no Tsubasa,1,1,1
vhs20mb,1064,2,Zheng Yi,The Alchemist Code,2,1,2
vhsqzqv,57304,1,Growlithe,Pokémon,1,8,1
vhs00c2,17995,3,Kargalgan,Solo Leveling,1,1,1
vhsm9x5,17732,1,Ika Sainokami,The Ryuo's Work Is Never Done!,2,1,2
vhsvf59,57272,1,Gigalt Gungulgash,Planetes,4,0,4
vhsmj4b,57356,1,Iguvua=41,Overlord II,1,1,1
vhdcntj,56801,1,Michiko,My Neighbor Totoro,1,1,1
vhd6ct0,39847,1,Chrome,Tokyo Revengers,0,1,0
vhdcjgc,57098,1,Swellow,Pokémon Advanced,3,1,3
vhdp2qn,56807,1,Kaoru Takamura,Xi Avant,3,0,3
vhdwzpc,57391,1,Adachi,SoniAni: Super Sonico the Animation,2,1,2
vhd0dcc,56959,1,Nakajima,The Knight in the Area,2,0,2
vh7ddmb,57454,1,Yugito Nii,Naruto Shippuden,3,1,3
vh7svqg,57070,1,Yuri Egin,Blue Exorcist,1,3,1
vh7lpvv,8348,4,Hifumi Izanami,Hypnosis Mic: Division Rap Battle - Rhyme Anima,0,21,0
vh79ll9,56982,1,Paipo,Overlord III,2,1,2
vh79svk,57000,1,Sean,Pokémon: Black & White,1,4,1
vh7jw09,19800,1,Cat Zombie,Sarazanmai,2,0,2
vh7mm0h,10907,2,Bonobono,Bonobono,3,2,3
vhtc00m,57152,1,Pump,The Seven Deadly Sins the Movie: Prisoners of the Sky,3,1,3
vht75f6,56906,1,Rachel,Rizelmine,2,1,2
vht85dg,57107,1,Naeka Fujiwara,Kamen no Maid Guy,0,0,0
vh8xw2x,3143,5,Emma Verde,Love Live! Nijigasaki High School Idol Club,2,4,2
vh8f4n3,5759,3,Owner Kobayashi,Ya Boy Kongming!,0,4,0
vh8gkt4,56968,1,Rino Fujisaki,Hina Logi: From Luck & Logic,2,0,2
vh82mb9,56631,1,Roche Frain Yggdmillennia,Fate/Apocrypha,2,1,2
vh8v9g8,57017,1,Splash,One Piece,1,1,1
vhfbctw,56702,1,Nigun Grid Luin,Overlord,2,1,2
vh997n8,33239,2,Tetsu Sendagaya,Servamp,3,1,3
vh93glv,9087,4,Yubel,Yu-Gi-Oh! GX,0,9,0
vh9k5hw,57092,1,Bi,PES: Peace Eco Smile,2,1,2
vhgzcdx,30607,2,Jun Minegishi,Nagi no Asukara,1,1,1
